service,category,operation,provider,resource_type,gap_filled
identity,AuditLogs,Add Passkey (device-bound),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add app role assignment grant to user,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add app role assignment to service principal,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Add member to role in PIM completed (permanent),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Admin registered security info,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,ApprovalNotification_Create,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Approve decision,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Bulk Deny decisions,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Cancel request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Create access package assignment policy,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Create resource remove request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Decision Item Summary,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete BitLocker key,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete application,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete business flow,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete device,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Delete platform credential,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Device no longer compliant,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Extend access package assignment,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Features_GetFeaturesAsync,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Generate one time password,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get CIAM directory resource,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get CIAM directory resources in a subscription,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get authenticationEventListeners,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Get custom policies,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Group_GetDynamicGroupProperties,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Hard Delete group,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Import,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Onboarded resource to PIM,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,POST UserAuthMethod.SoftwareOathProofupRegistration,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Redeem external user invite,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove eligible member from role in PIM completed (timebound),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove member from group,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove member from role requested (PIM deactivate),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove registered owner from device,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Remove service principal credentials,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Reset password (by admin),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Reset password (self-service),Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Restore user,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Settings_GetSettingsAsync,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update PasswordProfile,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update access package assignment request,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update access review,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update application,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update application – Certificates and secrets management,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update business flow,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update contact,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,Update device,Microsoft.AADIAM,diagnosticSettings,
identity,AuditLogs,User registered all required security info,Microsoft.AADIAM,diagnosticSettings,
