event_id,log,source,category,subcategory,description,sample,reference,how_to_collect
4205,Applications and Servers->Microsoft->Windows->NLAsvc,Nlasvc,Network Location Awareness,Gateway Resolution,Gateway resolution failed on interface for xx with error ...,,,
4343,Applications and Servers->Microsoft->Windows->NLAsvc,Nlasvc,Network Location Awareness,LDAP Authentication,LDAP Authentication on interface failed,,,
70,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope xxx for ipv4 is configured by xxx,,Configure,
72,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope xxx for ipv4 is deleted by xxx,,Configure,
73,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope xxx for ipv4 is activated by xxx,,Configure,
74,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope xxx for ipv4 is deactivated by xxx,,Configure,
75,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope xxx for ipv4 is updated with lease duration xxx seconds by xxx,,Configure,
76,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope xxx for ipv4 is updated with option setting xx by xxx,,Configure,
89,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Scope ... for ipv4 is updated with support type...by....The previous configuration state was : ...,,,
106,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Reservation xxx for ipv4 is configured under scope xxx by xxx,,Configure,
107,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Reservation xxx for ipv4 is deleted under scope xxx by xxx,,Configure,
108,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Reservation xxx for ipv4 under scope xxx is enabled for dns dynamic updates by xxx,,Configure,
119,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Added exclusion ip address range xxx in the address pool for ipv4 under scope xxx by xxx,,Configure,
20221,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,Policy,Description of Scope ....policy...was set to ... for ...,,,
20223,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,Policy,The conditions for scope...policy...have been set to.....The conditions are grouped by logical operator OR,,,
20227,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,Policy,Policy default ... was deleted from scope,,,
20237,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,Policy,Description of scope...policy...was set to....,,,
20239,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,Policy,Processing order of scope...policy was changed to..from..,,,
20243,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,DHCP Failover,Scope xxx has been added to the failover relationship,,Configure,
20244,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,DHCP Failover,Scope xxx has been removed from the failover relationship,,Configure,
20287,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,DHCP client request from xxx was dropped since the last applicable ip ranges in scope xxx are out of available addresses,,Configure,
20291,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,DHCP-Failover,A Binding-ACK message with transaction..was sent for IP address...with reject reason...to partner server...for failover relationship,,,
